Provinsi,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
ACEH,71061.29,105254.72,294608.47,281119.38,159158.95,62726.81,12074.69,93899.42,189355.03,223382.43,53060.51,40476.66,1586178.36
SUMATERA UTARA,194014.9,404718.92,314988.21,179663.78,199994.75,246094.52,173992.5,277021.17,326931.35,197634.97,106864.39,106794.15,2728713.61
SUMATERA BARAT,141426.58,157807.91,162064.93,98223.19,109132.17,131014.43,92412.45,85163.51,144649.6,92583.71,64707.01,86990.28,1366175.77
RIAU,15184.25,26669.73,43973.22,17391.92,16280.87,19302.66,10277.69,15284.53,23908.15,16361.02,8753.41,8895.56,222283.01
JAMBI,27546.67,26998.74,34681.74,32435.29,28690.84,44505.77,17471.96,34216.32,53608.06,31319.16,17622.4,18792.65,367889.6
SUMATERA SELATAN,285763.38,481589.69,497610.16,409899.34,209159.39,220221,266394.11,406297.65,398036.1,201264.69,86061.1,136439.76,3598736.37
BENGKULU,26568.3,17809.46,28679.14,35793.94,40327,16804.4,6220.54,8315.96,20330.36,17255.74,16193.46,36610.45,270908.75
LAMPUNG,28887.67,72162.32,409151.64,797741.17,349397.3,100104.48,100556.7,334905.46,553699.68,306260.19,85101.41,64274.43,3202242.45
KEP. BANGKA BELITUNG,3635.76,5379.57,7376.83,10578.49,6403.23,2447.85,504.34,8078.85,6836.61,6612.41,1858.86,2768.15,62480.95
KEP. RIAU,21.4,41.37,45.15,32.59,59.88,19.45,0,38.84,205.32,86.18,21.02,10.77,581.97
DKI JAKARTA,112.87,0,0,16.94,60.76,19.78,73.28,524.11,369.64,184.08,69.84,17.35,1448.65
JAWA BARAT,362854.42,445035.71,1219278.69,1313909.97,1101292.03,716294.78,1032170.75,935039.53,737271.71,963813.78,834996.1,578448.01,10240405.48
JAWA TENGAH,194648.97,798789.24,1948745.59,1268755.61,474734.76,790385.24,1073061.21,824745.45,704685.36,554548.93,429765.37,346242.67,9409108.4
DI YOGYAKARTA,35465.86,120952.63,90075.92,54072.56,30314.74,65598.6,43050.37,38641.79,14791.27,19902.11,19927.53,17711.49,550504.87
JAWA TIMUR,384669.75,573704.28,2041229.45,1818524.03,695167.62,779086.12,1012403.21,824728.65,689839.53,620232.59,612128.36,506168.37,10557881.96
BANTEN,20822.2,138714.14,398689.8,296544.83,63718.93,59061.13,206875.23,257750.35,188749.2,85225.99,37515.05,58019.05,1811685.9
BALI,43254.85,28914.99,50079.95,42779.62,83054.26,59620.41,46824.21,34029.16,40118.64,49375.19,50347.13,80918.53,609316.94
NUSA TENGGARA BARAT,30383.69,47042.31,236155.28,547871.06,212708.51,49711.51,137765.57,152116.37,91252.84,79113.01,54713.28,59449.59,1698283.02
NUSA TENGGARA TIMUR,25426.28,11976.25,39954.83,129798.5,318001.16,155233.46,44792.87,25130.55,31146.59,67106.13,69525.18,40142.55,958234.35
KALIMANTAN BARAT,73972.99,127772.42,150071.42,79395.37,27449.44,28913.34,40140.87,56775.7,71627.18,64003.81,23358.28,27040.56,770521.38
KALIMANTAN TENGAH,2750.81,29056.09,58788.41,27754.75,28988.41,8886.56,27730.77,72384.59,44914.42,19648.64,8039.6,1172.46,330115.51
KALIMANTAN SELATAN,1948.01,14896.22,47338.4,110371.16,132255.51,65468.49,88292.98,197491.64,247577.86,200575.32,74053.89,3157.77,1183427.25
KALIMANTAN TIMUR,868.03,14992.79,67395.43,41772.72,9224.04,3504.53,6375.5,29618.88,69512.44,21038.95,4331.14,3169.14,271803.59
KALIMANTAN UTARA,5645.8,7094.56,3870.9,4825.34,2128.8,1932.71,2137.35,663.65,3487.28,3121.96,985.24,1408.31,37301.9
SULAWESI UTARA,13119.18,26146.91,31472.86,23636.19,236262.54,22098.4,17998.55,22203.37,28911.71,21530.39,18059.18,18449.65,266888.93
SULAWESI TENGAH,46408.42,77654.92,54388.72,90869.43,96235.86,98549.73,40948.47,25823.01,82079.48,146527.43,84429.14,56474.89,900389.5
SULAWESI SELATAN,60216.52,64021.51,645288.26,1163517.98,508714.87,154905.16,158085.54,664930.67,1040668.28,526987.55,293402.73,118433.37,5399172.44
SULAWESI TENGGARA,33443,32047.28,27695.33,76245.82,106940.64,53815.36,41068.03,54720.37,43468.94,113659.87,54283.15,38159.79,675547.58
GORONTALO,16571.81,42371.83,42865.3,17484.83,9407.67,17883.96,25391.91,46485.44,26564.19,14586.79,16689.91,3919.73,280223.37
SULAWESI BARAT,24579.91,20314.28,54439.65,55684.55,30074.97,24146.99,22719.4,18570.36,49442.44,36788.71,21900.32,22832.73,381494.31
